shortname,shortname,Jname,catWISE RA,catWISE Dec
0000-4614,0000-4614,J000016.28-461456.4,0.0678658,-46.2490076
0001-0613,0001-0613,J000149.45-061336.7,0.456046,-6.2268661
0003-7533,0003-7533,J000306.52-753309.7,0.777173,-75.5526994
0011-0521B,0011-0521B,J001145.46-052154.6,2.9394168,-5.3651801
0012+5159,0012+5159,J001224.43+515918.5,3.1018243,51.9884918
0018+5650,0018+5650,J001832.79+565013.6,4.6366352,56.837134
0020-1535,0020-1535,J002029.56-153528.0,5.1238312,-15.5909808
0022-0652,0022-0652,J002231.24-065201.0,5.6302029,-6.8669649
0025-1346,0025-1346,J002507.85-134647.9,6.2827283,-13.779989
0029-3119,0029-3119,J002900.98-311937.5,7.2541161,-31.3270992
0034-2632,0034-2632,J003424.66-263227.4,8.6027613,-26.5409666
0041-4019,0041-4019,J004143.77-401929.9,10.4324127,-40.324977
0048+2508A,0048+2508A,J004851.34+250813.3A,12.2139388,25.1370418
0048+2508B,0048+2508B,J004851.34+250813.3B,12.2139388,25.1370418
0103+2626,0103+2626,J010321.26+262603.7,15.8385837,26.4343703
0103+3053,0103+3053,J010352.81+305317.6,15.9700688,30.8882309
0111-1035,0111-1035,J011128.00-103535.7,17.8666788,-10.593255
0115-4548,0115-4548,J011552.59-454814.1,18.9691592,-45.8039327
0115-4616,0115-4616,J011558.74-461620.8,18.9947707,-46.272445
0116-0916,0116-0916,J011638.18-091634.3,19.1591166,-9.2762154
0117+6726,0117+6726,J011754.18+672654.0,19.4757892,67.4483341
